date,temperature_2m,relative_humidity_2m,cloud_cover,precipitation,wind_speed_10m,weather_code,hour,day,is_weekend
2025-08-03 18:30:00+00:00,26.424002,96.0,100.0,1.3,4.39436,61.0,18,2025-08-03,True
2025-08-03 19:30:00+00:00,26.324001,96.0,100.0,0.7,4.8433046,61.0,19,2025-08-03,True
2025-08-03 20:30:00+00:00,26.374,96.0,100.0,0.1,5.1919937,61.0,20,2025-08-03,True
2025-08-03 21:30:00+00:00,26.224,96.0,100.0,0.5,7.42159,61.0,21,2025-08-03,True
2025-08-03 22:30:00+00:00,25.974,98.0,100.0,9.8,7.0911775,63.0,22,2025-08-03,True
2025-08-03 23:30:00+00:00,25.974,97.0,100.0,8.7,5.1165614,63.0,23,2025-08-03,True
2025-08-04 00:30:00+00:00,26.024,96.0,100.0,0.6,5.1165614,61.0,0,2025-08-04,False
2025-08-04 01:30:00+00:00,26.474,93.0,100.0,0.1,6.9247384,61.0,1,2025-08-04,False
2025-08-04 02:30:00+00:00,27.074001,91.0,99.0,0.1,6.763786,61.0,2,2025-08-04,False
2025-08-04 03:30:00+00:00,27.924002,87.0,95.0,0.1,5.5887027,61.0,3,2025-08-04,False
2025-08-04 04:30:00+00:00,28.424002,86.0,98.0,0.1,3.7585104,3.0,4,2025-08-04,False
2025-08-04 05:30:00+00:00,28.224,87.0,100.0,0.1,4.829907,3.0,5,2025-08-04,False
2025-08-04 06:30:00+00:00,28.174002,87.0,100.0,0.3,5.1165614,80.0,6,2025-08-04,False
2025-08-04 07:30:00+00:00,27.924002,87.0,100.0,0.4,5.0911684,80.0,7,2025-08-04,False
2025-08-04 08:30:00+00:00,28.024,87.0,100.0,0.2,3.7064266,3.0,8,2025-08-04,False
2025-08-04 09:30:00+00:00,28.224,86.0,99.0,0.0,2.8116899,3.0,9,2025-08-04,False
2025-08-04 10:30:00+00:00,28.074001,86.0,97.0,0.1,2.52,3.0,10,2025-08-04,False
2025-08-04 11:30:00+00:00,27.674002,91.0,98.0,0.3,5.0911684,80.0,11,2025-08-04,False
2025-08-04 12:30:00+00:00,27.124,93.0,100.0,0.8,4.68,80.0,12,2025-08-04,False
2025-08-04 13:30:00+00:00,26.924002,94.0,100.0,0.3,3.6179552,80.0,13,2025-08-04,False
2025-08-04 14:30:00+00:00,26.874,95.0,94.0,0.0,2.4149535,45.0,14,2025-08-04,False
2025-08-04 15:30:00+00:00,26.774,96.0,93.0,0.0,3.396233,45.0,15,2025-08-04,False
2025-08-04 16:30:00+00:00,26.624,96.0,93.0,0.0,3.4152596,45.0,16,2025-08-04,False
2025-08-04 17:30:00+00:00,26.524,97.0,98.0,0.0,4.1046314,3.0,17,2025-08-04,False
2025-08-04 18:30:00+00:00,26.474,97.0,100.0,0.0,4.2136917,3.0,18,2025-08-04,False
2025-08-04 19:30:00+00:00,26.474,97.0,100.0,0.0,4.829907,3.0,19,2025-08-04,False
2025-08-04 20:30:00+00:00,26.424002,96.0,95.0,0.0,5.00128,3.0,20,2025-08-04,False
2025-08-04 21:30:00+00:00,26.424002,96.0,100.0,0.0,4.510787,3.0,21,2025-08-04,False
2025-08-04 22:30:00+00:00,26.324001,97.0,100.0,0.0,3.8939953,3.0,22,2025-08-04,False
2025-08-04 23:30:00+00:00,26.324001,97.0,100.0,0.0,3.319036,45.0,23,2025-08-04,False
2025-08-05 00:30:00+00:00,26.474,95.0,99.0,0.0,3.319036,45.0,0,2025-08-05,False
2025-08-05 01:30:00+00:00,26.774,93.0,97.0,0.0,3.096837,3.0,1,2025-08-05,False
2025-08-05 02:30:00+00:00,27.424002,89.0,98.0,0.0,2.0991426,3.0,2,2025-08-05,False
2025-08-05 03:30:00+00:00,28.174002,84.0,96.0,0.0,2.2768397,3.0,3,2025-08-05,False
2025-08-05 04:30:00+00:00,29.174002,78.0,96.0,0.0,2.8116899,3.0,4,2025-08-05,False
2025-08-05 05:30:00+00:00,30.074001,73.0,93.0,0.0,1.8,3.0,5,2025-08-05,False
2025-08-05 06:30:00+00:00,30.824001,68.0,86.0,0.0,0.5091169,3.0,6,2025-08-05,False
2025-08-05 07:30:00+00:00,31.424002,64.0,96.0,0.0,0.35999998,3.0,7,2025-08-05,False
2025-08-05 08:30:00+00:00,31.874,63.0,94.0,0.0,0.8049845,3.0,8,2025-08-05,False
2025-08-05 09:30:00+00:00,32.073997,63.0,91.0,0.0,1.8,3.0,9,2025-08-05,False
2025-08-05 10:30:00+00:00,31.524,65.0,95.0,0.0,4.0249224,3.0,10,2025-08-05,False
2025-08-05 11:30:00+00:00,30.674002,71.0,94.0,0.1,4.1046314,3.0,11,2025-08-05,False
2025-08-05 12:30:00+00:00,29.774,78.0,90.0,0.0,2.0991426,3.0,12,2025-08-05,False
2025-08-05 13:30:00+00:00,29.374,81.0,93.0,0.0,1.609969,3.0,13,2025-08-05,False
2025-08-05 14:30:00+00:00,28.774,86.0,100.0,0.0,2.5455842,3.0,14,2025-08-05,False
2025-08-05 15:30:00+00:00,28.224,88.0,100.0,0.1,3.8773184,3.0,15,2025-08-05,False
2025-08-05 16:30:00+00:00,27.874,90.0,100.0,0.0,4.198285,3.0,16,2025-08-05,False
2025-08-05 17:30:00+00:00,27.524,91.0,100.0,0.9,4.0249224,95.0,17,2025-08-05,False
