date,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,precipitation_probability,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,pressure_msl,surface_pressure,weather_code,hour,day,is_weekend
2025-08-04 18:30:00+00:00,26.574001,33.36095,97.0,26.058104,0.0,0.0,0.0,0.0,48.0,99.0,62.0,87.0,91.0,4.5536795,9.83268,12.413477,13.104198,198.43504,203.7495,209.53868,217.18478,10.08,1005.3,999.47644,3.0,18,2025-08-04,False
2025-08-04 19:30:00+00:00,26.524,33.17627,97.0,26.008293,0.0,0.0,0.0,0.0,38.0,100.0,71.0,88.0,100.0,5.2416787,11.631956,14.48972,16.075521,195.94547,201.80147,206.56499,214.04597,11.879999,1004.8,998.9784,3.0,19,2025-08-04,False
2025-08-04 20:30:00+00:00,26.524,32.951374,96.0,25.833288,0.0,0.0,0.0,0.0,30.0,100.0,72.0,91.0,100.0,5.95906,12.879752,13.363711,15.277749,205.01686,206.56499,207.25525,214.43904,13.32,1004.2,998.3819,3.0,20,2025-08-04,False
2025-08-04 21:30:00+00:00,26.474,33.08127,97.0,25.958485,0.0,0.0,0.0,0.0,30.0,99.0,68.0,97.0,82.0,5.315336,10.990322,13.979872,14.904173,208.30066,211.60745,214.50858,217.14677,13.32,1004.1,998.28125,3.0,21,2025-08-04,False
2025-08-04 22:30:00+00:00,26.374,32.95882,97.0,25.858868,0.0,0.0,0.0,0.0,18.0,100.0,70.0,100.0,79.0,5.00128,10.495713,13.392774,15.30741,210.25635,210.96368,216.25392,221.18582,11.879999,1004.0,998.18,3.0,22,2025-08-04,False
2025-08-04 23:30:00+00:00,26.324001,33.106125,97.0,25.80906,0.0,0.0,0.0,0.0,18.0,95.0,74.0,85.0,28.0,3.4152596,7.0911775,7.24486,10.086427,198.43504,203.9625,206.56499,214.82455,11.5199995,1004.3,998.4773,3.0,23,2025-08-04,False
2025-08-05 00:30:00+00:00,26.524,33.344997,96.0,25.833288,0.0,0.0,0.0,0.0,5.0,98.0,72.0,91.0,0.0,3.2599385,6.28713,6.379216,9.339208,186.3401,193.24052,196.38962,207.55272,7.92,1005.1,999.2767,45.0,0,2025-08-05,False
2025-08-05 01:30:00+00:00,26.924002,33.545498,93.0,25.69491,0.0,0.0,0.0,0.0,5.0,98.0,52.0,95.0,0.0,3.9763298,5.4119864,6.519877,7.172949,174.80566,176.186,186.3401,197.52567,9.72,1005.5,999.68195,3.0,1,2025-08-05,False
2025-08-05 02:30:00+00:00,27.774,34.410904,89.0,25.793388,0.0,0.0,0.0,0.0,3.0,95.0,53.0,85.0,0.0,4.32,5.3999996,5.771239,6.638072,180.0,180.0,183.57626,192.5288,10.799999,1006.1,1000.2947,3.0,2,2025-08-05,False
2025-08-05 03:30:00+00:00,28.974,35.606266,83.0,25.793108,0.0,0.0,0.0,0.0,25.0,84.0,40.0,68.0,0.0,4.3349743,5.4477882,5.8048253,5.8048253,184.76355,187.59456,187.12492,187.12492,11.879999,1005.7,999.9202,3.0,3,2025-08-05,False
2025-08-05 04:30:00+00:00,30.274,36.909443,76.0,25.570507,0.0,0.0,0.0,0.0,35.0,81.0,47.0,60.0,0.0,3.2599385,3.9763298,3.9763298,3.9763298,186.3401,185.19434,185.19434,185.19434,11.879999,1005.6,999.84534,3.0,4,2025-08-05,False
2025-08-05 05:30:00+00:00,30.824001,37.959553,74.0,25.651508,0.0,0.0,0.0,0.0,40.0,92.0,55.0,79.0,0.0,2.3051248,2.8116899,3.096837,3.096837,218.65984,219.80553,215.53777,215.53777,10.440001,1005.8,1000.0545,3.0,5,2025-08-05,False
2025-08-05 06:30:00+00:00,31.524,38.5774,70.0,25.387285,0.0,0.0,0.0,0.0,38.0,93.0,63.0,78.0,0.0,1.8,2.0364676,2.0364676,2.3051248,233.13002,224.9999,224.9999,218.65984,12.599999,1005.3,999.5705,3.0,6,2025-08-05,False
2025-08-05 07:30:00+00:00,31.724,38.37788,69.0,25.336283,0.0,0.0,0.0,0.0,40.0,90.0,60.0,73.0,0.0,2.0364676,2.0364676,2.3051248,2.3051248,224.9999,224.9999,218.65984,218.65984,13.32,1004.8,999.07715,3.0,7,2025-08-05,False
2025-08-05 08:30:00+00:00,31.774,38.377323,68.0,25.138653,0.0,0.0,0.0,0.0,43.0,90.0,59.0,73.0,5.0,1.484318,1.835647,1.9386592,1.609969,255.96373,258.6901,248.19853,243.43501,13.32,1003.9,998.1832,3.0,8,2025-08-05,False
2025-08-05 09:30:00+00:00,31.574001,37.98164,69.0,25.193178,0.1,0.0,0.1,0.0,40.0,94.0,57.0,81.0,19.0,3.0758414,3.5455887,3.5455887,3.219938,290.55612,293.9625,293.9625,296.56497,15.84,1002.9,997.1852,3.0,9,2025-08-05,False
2025-08-05 10:30:00+00:00,31.024,37.302696,72.0,25.38237,0.1,0.0,0.1,0.0,33.0,96.0,56.0,86.0,14.0,4.829907,5.95906,5.95906,5.95906,296.56497,295.01685,295.01685,295.01685,16.56,1002.8,997.07544,3.0,10,2025-08-05,False
2025-08-05 11:30:00+00:00,30.524,36.854115,74.0,25.36272,0.0,0.0,0.0,0.0,38.0,100.0,43.0,100.0,0.0,4.39436,6.193674,6.489992,6.489992,304.9921,305.53775,303.6901,303.6901,12.599999,1002.8,997.066,3.0,11,2025-08-05,False
2025-08-05 12:30:00+00:00,29.874,36.742676,79.0,25.835949,0.0,0.0,0.0,0.0,33.0,97.0,12.0,93.0,0.0,2.9024127,5.991594,6.489992,6.4096174,330.25522,327.26477,326.3099,321.8427,10.08,1003.1,997.35205,3.0,12,2025-08-05,False
2025-08-05 13:30:00+00:00,29.374,36.554825,83.0,26.1838,0.0,0.0,0.0,0.0,33.0,84.0,3.0,81.0,0.0,2.4149535,5.634891,6.12,5.1919937,333.43503,333.43503,331.9276,326.3099,6.4799995,1004.2,998.43646,3.0,13,2025-08-05,False
2025-08-05 14:30:00+00:00,29.024,36.432987,86.0,26.442558,0.0,0.0,0.0,0.0,23.0,81.0,0.0,81.0,14.0,2.0991426,4.6800003,4.829907,3.6,329.03632,337.3801,333.43503,323.13,4.68,1004.7,998.92694,3.0,14,2025-08-05,False
2025-08-05 15:30:00+00:00,28.774,36.30623,87.0,26.393059,0.0,0.0,0.0,0.0,18.0,87.0,8.0,80.0,27.0,1.0182338,2.7416782,2.4149535,1.2979984,315.0001,336.8014,333.43503,303.6901,3.96,1005.1,999.3199,3.0,15,2025-08-05,False
2025-08-05 16:30:00+00:00,28.524,36.068913,89.0,26.532444,0.0,0.0,0.0,0.0,25.0,92.0,22.0,77.0,50.0,1.609969,2.0991426,2.1897945,2.4149535,296.56497,300.96368,279.46225,243.43501,2.8799999,1004.9,999.1161,3.0,16,2025-08-05,False
2025-08-05 17:30:00+00:00,28.124,35.468655,91.0,26.514717,0.5,0.0,0.5,0.0,28.0,100.0,42.0,77.0,100.0,2.9024127,5.4477882,5.506941,5.4833565,262.8751,262.40546,258.6901,246.80138,9.36,1004.6,998.8103,80.0,17,2025-08-05,False
2025-08-05 18:30:00+00:00,27.824001,35.17404,93.0,26.58672,0.9,0.0,0.9,0.0,35.0,100.0,51.0,80.0,100.0,3.219938,7.172949,8.089993,7.8954163,243.43501,252.47433,249.14546,245.77226,10.799999,1004.3,998.5064,80.0,18,2025-08-05,False
2025-08-05 19:30:00+00:00,27.624,34.986572,94.0,26.569908,0.0,0.0,0.0,0.0,43.0,100.0,73.0,90.0,100.0,3.0547013,6.696387,8.707237,8.0899935,224.9999,233.74606,240.2552,237.72438,6.8399997,1003.9,998.1047,3.0,19,2025-08-05,False
2025-08-05 20:30:00+00:00,27.324001,34.26489,94.0,26.272242,0.3,0.0,0.3,0.0,40.0,100.0,60.0,70.0,100.0,4.510787,6.9247384,9.028754,7.754637,241.38963,242.10283,246.50142,248.19853,12.959999,1003.7,997.90015,80.0,20,2025-08-05,False
2025-08-05 21:30:00+00:00,27.024,33.94696,94.0,25.974567,1.2,0.0,1.2,0.0,35.0,100.0,80.0,72.0,100.0,3.219938,5.634891,7.5170207,6.638072,243.43501,243.43501,253.30067,257.4712,16.919998,1003.7,997.8942,95.0,21,2025-08-05,False
2025-08-05 22:30:00+00:00,26.774,33.61491,94.0,25.726505,1.1,0.0,1.1,0.0,35.0,100.0,75.0,67.0,100.0,2.6208394,4.3349743,6.519877,6.5693827,285.94547,274.76355,276.3401,279.46225,14.4,1003.5,997.6907,95.0,22,2025-08-05,False
2025-08-05 23:30:00+00:00,26.774,33.70013,94.0,25.726505,0.1,0.0,0.1,0.0,43.0,100.0,71.0,57.0,100.0,2.0364676,3.8268526,5.8048253,6.9527545,315.0001,311.18582,299.74478,291.25058,9.72,1003.6,997.79004,3.0,23,2025-08-05,False
2025-08-06 00:30:00+00:00,27.074001,34.10375,92.0,25.661203,0.0,0.0,0.0,0.0,45.0,100.0,58.0,59.0,100.0,1.0182338,1.8,3.7064266,5.506941,315.0001,323.13,299.0545,281.3099,5.04,1004.0,998.1935,3.0,0,2025-08-06,False
2025-08-06 01:30:00+00:00,27.824001,34.828693,88.0,25.652082,0.0,0.0,0.0,0.0,55.0,100.0,65.0,56.0,100.0,1.1384199,1.2979984,1.8,3.7585104,341.56494,326.3099,323.13,286.6993,4.32,1004.7,998.9041,3.0,1,2025-08-06,False
2025-08-06 02:30:00+00:00,28.724,35.508442,84.0,25.750763,0.3,0.0,0.3,0.0,58.0,100.0,63.0,54.0,100.0,3.096837,3.8939953,3.8939953,4.198285,305.53775,303.6901,303.6901,300.96368,10.799999,1005.0,999.2193,80.0,2,2025-08-06,False
